,precision,recall,f1-score,support
angry,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
calm,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
disgust,0.8095238095238095,0.8947368421052632,0.85,19.0
fearful,0.8260869565217391,1.0,0.9047619047619048,19.0
happy,0.8666666666666667,0.6842105263157895,0.7647058823529411,19.0
neutral,0.6,0.9,0.72,10.0
sad,1.0,0.47368421052631576,0.6428571428571429,19.0
surprised,0.9523809523809523,1.0,0.975609756097561,20.0
accuracy,0.8402777777777778,0.8402777777777778,0.8402777777777778,0.8402777777777778
macro avg,0.8452161365204844,0.8427631578947368,0.8251060414277774,144.0
weighted avg,0.8612863451631568,0.8402777777777778,0.8327203337022204,144.0
